CUST_NUM,MTH,TARIFF_PLAN,AMT_PF
11633,10,TP6,2400
11635,8,TP6,2500
11635,9,TP6,2800
11635,10,TP6,1900
1164,8,TP6,400
1164,9,TP6,300
1164,10,TP6,1000
11641,9,TP6,400
11641,10,TP6,200
11643,8,TP5,1600
11643,9,TP5,2000
11643,10,TP5,800
11645,9,TP5,1200
11648,9,TP5,800
11648,10,TP5,1200
11657,8,TP5,400
11657,9,TP5,1200
11659,8,TP4,2400
11659,9,TP4,1200
11659,10,TP4,1200
1166,8,TP6,1500
1166,9,TP6,1500
1166,10,TP6,1600
11661,8,TP5,400
11661,8,TP6,100
11665,8,TP3,800
11665,9,TP3,800
11668,9,TP5,800
11683,9,TP6,200
11683,10,TP6,200
11684,9,TP5,800
1169,8,TP5,1200
1169,9,TP5,400
1169,10,TP5,400
11702,10,TP5,800
11708,8,TP4,1200
11708,9,TP4,1200
11708,10,TP4,1200
11717,9,TP5,800
11718,10,TP5,800
11720,8,TP6,1900
11720,10,TP6,400
11725,8,TP4,1200
11725,9,TP4,1200
11725,10,TP4,1200
11726,8,TP4,1200
11726,9,TP4,1200
11726,10,TP4,1200
11727,9,TP5,400
11727,10,TP5,1600
11732,9,TP4,1200
11732,10,TP4,1200
11738,8,TP5,400
11738,9,TP5,800
11738,10,TP5,800
1174,8,TP4,1200
1174,9,TP4,1200
1174,10,TP4,1200
11745,8,TP6,200
11745,9,TP6,400
11745,10,TP6,100
1175,8,TP3,800
1175,9,TP3,800
1175,10,TP3,800
11751,8,TP6,500
11751,9,TP6,200
11751,10,TP6,200
11752,8,TP6,100
11752,9,TP6,100
11752,10,TP6,100
11754,10,TP5,400
11755,8,TP5,1600
11755,9,TP5,800
11755,9,TP6,100
11755,10,TP5,1600
11758,8,TP4,1200
11758,9,TP4,1200
11758,10,TP4,1200
11763,8,TP5,400
11763,9,TP5,800
11768,9,TP5,800
1177,8,TP6,200
1177,9,TP6,2000
1177,10,TP6,2400
11782,8,TP5,400
11786,8,TP5,400
11786,9,TP5,800
11786,10,TP5,400
11790,9,TP5,1600
11790,10,TP5,1200
11793,8,TP6,500
11793,9,TP6,800
11793,10,TP6,200
11794,8,TP5,1200
11794,9,TP5,1600
11794,10,TP5,1600
11804,8,TP5,1200
11804,9,TP5,1200
11806,8,TP4,1200
11806,9,TP4,1200
11808,8,TP5,1600
11808,9,TP5,1600
11808,10,TP5,2000
11810,8,TP4,1200
11810,9,TP4,1200
11810,10,TP4,1200
11816,10,TP5,400
11819,8,TP5,400
11819,9,TP5,1600
11823,10,TP5,1600
11829,8,TP4,1200
11829,9,TP4,1200
11829,10,TP4,1200
11833,8,TP4,1200
11834,10,TP4,1200
11842,9,TP6,800
11842,10,TP6,100
11844,9,TP6,400
11844,10,TP6,1300
11850,8,TP5,1200
11850,8,TP6,600
11850,9,TP6,2200
11855,8,TP6,1100
11855,9,TP6,600
11855,10,TP6,1300
11866,10,TP5,1200
11868,8,TP4,1200
11870,8,TP5,1600
11870,9,TP5,1200
11874,8,TP6,100
1188,8,TP4,1200
11884,8,TP6,300
11884,9,TP6,100
11889,9,TP5,400
11889,10,TP6,300
11892,8,TP5,400
11892,9,TP5,1600
11892,10,TP5,1200
11899,8,TP6,700
11899,9,TP6,1000
119,9,TP3,800
11903,8,TP6,100
11912,8,TP6,1300
11912,9,TP6,1800
11912,10,TP6,1800
11921,8,TP5,1600
11921,9,TP5,1200
11921,10,TP5,800
11923,9,TP4,1200
11923,10,TP4,1200
11925,9,TP5,400
11925,10,TP5,400
11927,8,TP5,1600
11927,9,TP5,2000
11927,10,TP5,1600
11932,10,TP5,400
11938,8,TP1,1900
11938,9,TP1,1900
11938,10,TP1,3800
11940,9,TP6,200
11940,10,TP6,200
11941,8,TP5,2000
11941,9,TP5,1600
11941,10,TP5,2000
11945,8,TP5,1200
11945,9,TP5,400
11945,10,TP5,400
1195,8,TP5,1200
11952,8,TP5,400
11952,9,TP5,800
11954,9,TP5,800
11965,8,TP6,500
11965,9,TP6,1100
11969,8,TP4,1200
11969,9,TP4,1200
11969,10,TP4,1200
1197,8,TP6,500
1197,9,TP6,500
1197,10,TP6,300
11970,8,TP4,1200
11970,9,TP4,1200
11970,10,TP4,1200
11972,8,TP6,400
11972,9,TP6,400
11972,10,TP6,1400
11973,10,TP6,500
11978,8,TP6,2100
11978,9,TP6,1900
11978,10,TP6,2100
1198,9,TP5,1200
1198,10,TP5,400
11984,8,TP3,800
11984,9,TP3,800
11984,10,TP3,800
11991,8,TP5,400
11991,9,TP5,400
