CUST_NUM,MTH,TARIFF_OPTION,AMT_PF
10631,8,STD_TO,3060.00
10631,9,STD_TO,3400.00
10631,10,STD_TO,2700.00
10637,8,STD_TO,200.00
10637,9,STD_TO,1600.00
10637,10,STD_TO,1800.00
10639,8,STD_TO,720.00
10639,9,STD_TO,520.00
10639,10,STD_TO,600.00
1064,8,STD_TO,2750.00
1064,9,STD_TO,2750.00
1064,10,STD_TO,3000.00
10641,9,STD_TO,900.00
10642,8,STD_TO,300.00
10643,8,STD_TO,600.00
10643,9,STD_TO,600.00
10643,10,STD_TO,600.00
10646,8,PROMO_TO,3000.00
10646,9,PROMO_TO,3000.00
10646,10,PROMO_TO,3000.00
10647,8,STD_TO,200.00
10647,10,STD_TO,200.00
10649,8,STD_TO,2400.00
10649,9,STD_TO,1200.00
10649,10,STD_TO,2220.00
1065,8,STD_TO,300.00
1065,9,STD_TO,1000.00
1065,10,STD_TO,900.00
10651,9,STD_TO,200.00
10651,10,PROMO_TO,250.00
10657,9,STD_TO,300.00
10657,10,PROMO_TO,1800.00
10657,10,STD_TO,300.00
10658,9,STD_TO,300.00
10658,10,STD_TO,800.00
10663,9,STD_TO,300.00
10664,8,STD_TO,240.00
10664,9,STD_TO,230.00
10664,10,STD_TO,240.00
10665,8,STD_TO,2200.00
10665,10,STD_TO,600.00
10667,8,STD_TO,900.00
10667,9,STD_TO,600.00
10667,10,STD_TO,1200.00
10668,10,STD_TO,900.00
10670,10,PROMO_TO,1000.00
10671,8,STD_TO,1390.00
10671,9,STD_TO,1470.00
10671,10,STD_TO,470.00
10672,8,PROMO_TO,250.00
10672,8,STD_TO,600.00
10672,10,STD_TO,300.00
10673,8,STD_TO,300.00
10674,8,PROMO_TO,1000.00
10674,8,STD_TO,1200.00
10674,9,PROMO_TO,500.00
10674,9,STD_TO,2100.00
10674,10,STD_TO,2900.00
10677,8,PROMO_TO,350.00
10677,9,PROMO_TO,350.00
10677,10,PROMO_TO,700.00
10678,8,STD_TO,2570.00
10678,9,STD_TO,470.00
10678,10,STD_TO,1400.00
10679,9,STD_TO,230.00
10679,10,STD_TO,230.00
10680,10,STD_TO,600.00
10682,8,PROMO_TO,1500.00
